1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-101757243_0,-101966488#2_0,-103082314#0_0,-1275560130_0,101966393#2_0,101972917_0,102690997#2_0,103082316#1_0,1124102312_0,1132632802#0_0,1198952554#8_0,52152219#0_0,563022376#2_0,:10943277968_6_0,:1174832699_0_0,:1177160556_3_1,:1177161018_10_0,:1177161468_0_0,:1177161645_0_0,:1177211769_10_0,:1187083489_3_0,:1190100487_0_0,:1190128320_6_0,:664446129_0_0,:664472707_2_0,:cluster_10279701141_1177160864_664472702_3_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_14_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_17_0,:cluster_1189036471_1189036770_9_0
-101757273#0_0,-101966492_0,-103082314#1_0,-1275560131_0,101966396_0,101972924#0_0,102690997#3_0,103082317#0_0,1124105437_0,1132632802#1_0,1198952554#9_0,52152219#1_0,696897744_0,:10943433498_0_0,:1174832699_10_0,:1177160566_4_0,:1177161018_1_0,:1177161468_1_0,:1177161645_6_0,:1177211769_4_0,:1189036468_0_0,:1190100498_3_0,:1190128320_7_0,:664446129_1_0,:664472707_3_0,:cluster_10279701141_1177160864_664472702_4_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_16_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_19_0,:cluster_1190128316_1190128344_1_0
-101757273#1_0,-101966494_0,-103082314#2_0,-1309211043_0,101966397_0,101972924#2_0,102690997#4_0,103082317#1_0,1124105783_0,1132632803_0,1198952555#0_0,52152302#1_0,749310218_0,:10943433498_2_0,:1174832699_1_0,:1177160571_4_0,:1177161018_3_0,:1177161468_4_0,:1177161675_10_0,:1177211771_0_0,:1189036518_4_0,:1190128192_1_0,:1190128320_9_0,:664446130_0_0,:664472733_4_0,:cluster_10279701141_1177160864_664472702_4_1,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_17_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_1_0,:cluster_1190128316_1190128344_6_0
-101757273#2_0,-101966506#0_0,-103082314#3_0,-52152309#0_0,101966424#1_0,101972924#3_0,102690997#5_0,103082317#2_0,1124379125_0,1137238825_0,1198952555#1_0,52152302#2_0,749341589#0_0,:10943433498_3_0,:1174832699_3_0,:1177160573_0_0,:1177161018_4_0,:1177161468_6_0,:1177161675_1_0,:1177211771_13_0,:1189036526_0_0,:1190128194_10_0,:1190128334_0_0,:664446130_2_0,:664472733_5_0,:cluster_10279701141_1177160864_664472702_7_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_1_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_20_0,:cluster_1190128316_1190128344_8_0
-101757288_0,-101966506#1_0,-103082314#4_0,-52155576#0_0,101966424#2_0,101972924#5_0,102691001#0_0,103082317#3_0,1124379125_1,1147855373_0,1198952555#2_0,52152302#3_0,749341589#1_0,:10943433498_3_1,:1174832699_4_0,:1177160573_1_0,:1177161018_6_0,:1177161468_7_0,:1177161675_3_0,:1177211771_16_0,:1189036539_0_0,:1190128194_12_0,:1190128334_10_0,:664446130_3_0,:664472733_7_0,:cluster_10279701141_1177160864_664472702_8_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_1_1,:cluster_11158897100_11158897101_11158897102_664471748_#1more_2_0,:cluster_11942000232_664472748_1_0
-101757302#0_0,-101966508_0,-103082314#5_0,-52155576#1_0,101966427_0,101972944_0,102691001#1_0,103082323#0_0,1124379127#0_0,1173597755#0_0,1198952555#3_0,52152302#4_0,749643668_0,:10943435169_0_0,:1174832699_6_0,:1177160573_2_0,:1177161018_7_0,:1177161468_9_0,:1177161675_4_0,:1177211771_1_0,:1189036615_3_0,:1190128194_18_0,:1190128334_1_0,:664446130_4_0,:664472746_0_0,:cluster_10279701141_1177160864_664472702_9_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_3_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_3_0,:cluster_11942000232_664472748_2_0
-101757302#2_0,-101972892#0_0,-103082314#6_0,-52155579#0_0,101966430#0_0,101972954#1_0,102784452#0_0,103082324_0,1124379127#0_1,1173597755#2_0,1199457538#0_0,52152302#5_0,771670219_0,:10943435169_1_0,:1174832699_7_0,:1177160598_0_0,:1177161022_0_0,:1177161483_0_0,:1177161675_6_0,:1177211771_2_0,:1189036717_3_0,:1190128194_1_0,:1190128334_3_0,:664446531_0_0,:664472746_3_0,:cluster_10279701142_664471710_0_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_5_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_5_0,:cluster_11944729366_664471711_0_0
-101757312#0_0,-101972892#1_0,-103082314#7_0,-52155579#2_0,101966430#1_0,101972954#2_0,102784452#1_0,103082326#0_0,1124379127#1_0,1173597755#3_0,1199457538#1_0,52152302#6_0,995140650_0,:10943435169_2_0,:1174832713_10_0,:1177160598_10_0,:1177161022_3_0,:1177161483_1_0,:1177161675_7_0,:1177211771_4_0,:1189036717_3_1,:1190128194_9_0,:1190128334_4_0,:664446557_0_0,:664472746_3_1,:cluster_10279701142_664471710_10_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_6_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_6_0,:cluster_11944729366_664471711_1_0
-101757312#1_0,-101972898#0_0,-103082314#8_0,-52155579#3_0,101966430#2_0,101972954#4_0,102784452#2_0,103082326#1_0,1124379127#1_1,1173917946_0,1199457538#2_0,52152302#7_0,:10279701136_0_0,:10943490813_1_0,:1174832713_1_0,:1177160598_1_0,:1177161043_0_0,:1177161483_3_0,:1177161698_0_0,:1177211771_8_0,:1189036737_0_0,:1190128222_0_0,:1190128334_6_0,:664446557_2_0,:664472747_0_0,:cluster_10279701142_664471710_10_1,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_7_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_7_0,:cluster_11944729366_664471711_1_1
-101757321_0,-101972898#1_0,-103082314#9_0,-52155579#4_0,101966430#3_0,101972960#0_0,102784452#3_0,103230557#0_0,1124379127#2_0,1178005070_0,1199457539_0,52152302#8_0,:10279701136_1_0,:10943490816_1_0,:1174832713_3_0,:1177160598_3_0,:1177161043_1_0,:1177161483_4_0,:1177161698_3_0,:1177211896_0_0,:1189036737_6_0,:1190128222_1_0,:1190128334_7_0,:664446557_3_0,:664472747_1_0,:cluster_10279701142_664471710_12_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_8_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_7_1,:cluster_11944729366_664471711_3_0
-101966385#0_0,-101972898#2_0,-103082316#1_0,-52155736#0_0,101966443#0_0,101972960#1_0,102784452#4_0,103230557#1_0,1124379127#2_1,1178005978#0_0,1199457540#0_0,52152309#0_0,:10279701136_1_1,:10943490945_0_0,:1174832713_4_0,:1177160598_4_0,:1177161043_4_0,:1177161483_5_0,:1177161698_4_0,:1177211896_1_0,:1189036766_0_0,:1190128222_4_0,:1190128338_0_0,:664446557_4_0,:664472749_0_0,:cluster_10279701142_664471710_14_0,:cluster_10281958925_10281958926_6508834064_6508834065_#1more_9_0,:cluster_11158897100_11158897101_11158897102_664471748_#1more_9_0,:cluster_11944729366_664471711_4_0
-101966385#2_0,-101972898#3_0,-103082323#0_0,-52155736#1_0,101966443#10_0,102688627#0_0,102784452#5_0,1087118361#2_0,1124379127#3_0,1178005978#1_0,1199457540#1_0,52152345#0_0,:10279701147_0_0,:10943490945_3_0,:1174832713_7_0,:1177160675_4_0,:1177161047_0_0,:1177161483_6_0,:1177161698_7_0,:1177211896_3_0,:1189036766_1_0,:1190128222_6_0,:1190128338_6_0,:664446557_5_0,:664472749_1_0,:cluster_10279701142_664471710_15_0,:cluster_10281958942_302479285_0_0,:cluster_11502623494_11502623496_1186025300_1_0,:cluster_11944729366_664471711_4_1
-101966385#3_0,-101972902_0,-103082324_0,-52155736#2_0,101966443#11_0,102688627#1_0,102784452#6_0,1087118362#0_0,1124379127#3_1,1178006786_0,1199676458_0,52152345#1_0,:10279701147_2_0,:10943490945_4_0,:1174832716_0_0,:1177160684_0_0,:1177161047_11_0,:1177161504_1_0,:1177161703_0_0,:1177211896_4_0,:1189036777_4_0,:1190128222_7_0,:1190128345_1_0,:664446558_1_0,:664472749_2_0,:cluster_10279701142_664471710_1_0,:cluster_10281958942_302479285_1_0,:cluster_11502623494_11502623496_1186025300_7_0,:cluster_11944729366_664471711_6_0
-101966385#4_0,-101972912_0,-103082326#0_0,-52155736#4_0,101966443#12_0,102688627#2_0,102784452#8_0,1087118362#10_0,1124379131#0_0,1178013884_0,1238263630#0_0,52152345#2_0,:10279701147_3_0,:10943490945_6_0,:1174832716_1_0,:1177160684_13_0,:1177161047_7_0,:1177161504_2_0,:1177211334_0_0,:1177211896_7_0,:1189036777_5_0,:1190128222_9_0,:1190128345_2_0,:664446558_2_0,:664472751_0_0,:cluster_10279701142_664471710_3_0,:cluster_10281958942_302479285_1_1,:cluster_11502623494_11502623496_1186025300_8_0,:cluster_11944729366_664471711_7_0
-101966385#5_0,-101972917_0,-103082326#1_0,-52155737#0_0,101966443#13_0,102688627#3_0,102961698#1_0,1087118362#1_0,1124379131#1_0,1178014356_0,1251129390#0_0,52152346#0_0,:10279701147_3_1,:10943490945_7_0,:1174832716_2_0,:1177160687_0_0,:1177161047_8_0,:1177161508_0_0,:1177211334_3_0,:1177211896_9_0,:1189036797_1_0,:1190128225_1_0,:5424221999_3_0,:664446558_3_0,:664472751_2_0,:cluster_10279701142_664471710_4_0,:cluster_10281958942_302479285_3_0,:cluster_11502623494_11502623496_1186025300_9_0,:cluster_11944729366_664471711_8_0
-101966393#0_0,-101972944_0,-1087118361#1_0,-52155737#1_0,101966443#1_0,102688627#4_0,102961698#2_0,1087118362#2_0,1126475660_0,1178016910_0,1251129390#0_1,52152346#1_0,:10279701149_0_0,:10943490952_0_0,:1174832811_3_0,:1177160687_1_0,:1177161049_4_0,:1177161508_2_0,:1177211334_4_0,:1177211900_10_0,:1189036817_3_0,:1190128225_9_0,:5424222002_0_0,:664446590_0_0,:664472751_3_0,:cluster_10279701142_664471710_4_1,:cluster_10281958942_302479285_4_0,:cluster_11502623497_1177160337_3_0,:cluster_11944729366_664471711_9_0
-101966393#1_0,-101972954#0_0,-1087118361#2_0,-52155743#0_0,101966443#2_0,102688627#5_0,102961698#3_0,1087118362#3_0,1126475660_1,1178018200#0_0,1251129390#1_0,52152346#2_0,:10279701149_1_0,:10943490952_4_0,:1174832816_0_0,:1177160687_2_0,:1177161074_0_0,:1177161508_3_0,:1177211334_6_0,:1177211900_1_0,:1189036817_3_1,:1190128236_0_0,:5424222002_2_0,:664446590_2_0,:664472751_4_0,:cluster_10279701142_664471710_6_0,:cluster_10281958942_302479285_5_0,:cluster_1177160373_664472773_0_0,:cluster_5424222000_664446587_0_0
-101966393#2_0,-101972954#1_0,-1124089277#0_0,-52155743#1_0,101966443#3_0,102688628#0_0,102961698#4_0,1087118362#4_0,1126475660_2,1178018200#1_0,1251129390#1_1,52155576#0_0,:10279761589_7_0,:10943490952_6_0,:1174832834_0_0,:1177160691_0_0,:1177161074_1_0,:1177161509_1_0,:1177211334_7_0,:1177211900_3_0,:1189036857_0_0,:1190128237_1_0,:5424222002_3_0,:664446590_3_0,:664472752_0_0,:cluster_10279701142_664471710_7_0,:cluster_10281958942_302479285_6_0,:cluster_1177160373_664472773_12_0,:cluster_5424222000_664446587_11_0
-101966396_0,-101972954#2_0,-1124102301_0,-52155743#2_0,101966443#4_0,102688628#1_0,102961698#5_0,1087118362#5_0,1126518490#0_0,1178041322_0,1251129390#2_0,52155576#1_0,:10279761590_7_0,:10943498137_0_0,:1174832834_1_0,:1177160691_10_0,:1177161074_2_0,:1177161547_4_0,:1177211357_1_0,:1177211900_4_0,:1189036857_6_0,:1190128237_3_0,:6148940995_0_0,:664472046_0_0,:664472752_1_0,:cluster_10279701142_664471710_8_0,:cluster_10281958942_302479285_6_1,:cluster_1177160373_664472773_13_0,:cluster_5424222000_664446587_3_0
-101966397_0,-101972954#4_0,-1124102312_0,-52155744#1_0,101966443#5_0,102688628#2_0,102961698#6_0,1087118362#6_0,1126518490#2_0,1192799361_0,1251129390#2_1,52155579#2_0,:10279761591_3_0,:10943498137_2_0,:1174832834_2_0,:1177160691_4_0,:1177161076_1_0,:1177161549_0_0,:1177211357_8_0,:1177211900_6_0,:1189036859_0_0,:1190128237_7_0,:6148940995_0_1,:664472046_10_0,:664472752_3_0,:cluster_10279701142_664471710_9_0,:cluster_10560867453_663943486_0_0,:cluster_1177160373_664472773_1_0,:cluster_5424222000_664446587_4_0
-101966424#1_0,-101972956_0,-1147855373_0,-52155744#2_0,101966443#6_0,102688628#3_0,102961698#7_0,1087118362#7_0,1126613573_0,1192799361_1,1251129390#3_0,52155579#3_0,:10279761593_7_0,:10943498137_3_0,:1174832834_3_0,:1177160691_6_0,:1177161154_0_0,:1177161549_2_0,:1177211432_0_0,:1177212096_1_0,:1189036917_0_0,:1190128241_0_0,:6148942985_0_0,:664472046_12_0,:664472752_4_0,:cluster_10279701148_11630151856_663826006_0_0,:cluster_10560867453_663943486_10_0,:cluster_1177160373_664472773_4_0,:cluster_5424222000_664446587_6_0
-101966424#2_0,-101972960#0_0,-1173917946_0,-52155744#3_0,101966443#7_0,102688628#4_0,102961717_0,1087118362#8_0,1126633510#0-AddedOnRampEdge_0,1192799363#0_0,1251129390#3_1,52155579#4_0,:10281958924_3_0,:10943498141_0_0,:1174832834_4_0,:1177160691_7_0,:1177161154_1_0,:1177161549_3_0,:1177211432_2_0,:1177212155_0_0,:1189036937_0_0,:1190128241_10_0,:6311588102_0_0,:664472046_13_0,:664472775_0_0,:cluster_10279701148_11630151856_663826006_2_0,:cluster_10560867453_663943486_1_0,:cluster_1177160373_664472773_5_0,:cluster_5424222000_664446587_7_0
-101966427_0,-101972960#1_0,-1178005070_0,-52155750#0_0,101966443#8_0,102688628#5_0,103050326_0,1087118362#9_0,1126633510#0-AddedOnRampEdge_1,1192799363#0_1,1251129391_0,52155735#0_0,:10281958924_3_1,:10943498141_3_0,:1174832834_6_0,:1177160693_0_0,:1177161154_2_0,:1177161549_4_0,:1177211432_3_0,:1177212155_3_0,:1189036937_6_0,:1190128241_11_0,:6469124180_0_0,:664472046_16_0,:664472775_1_0,:cluster_10279761592_11942000229_11942000233_663943274_0_0,:cluster_10560867453_663943486_3_0,:cluster_1177160373_664472773_6_0,:cluster_5424222000_664446587_8_0
-101966430#0_0,-101972960#2_0,-1178005978#0_0,-52155750#1_0,101966443#9_0,102688628#6_0,103050328_0,1124089268_0,1126633510#0_0,1192799363#1_0,1251129391_1,52155735#1_0,:10281958927_0_0,:10943498141_4_0,:1174832855_0_0,:1177160693_6_0,:1177161154_4_0,:1177161549_6_0,:1177211432_3_1,:1177212155_4_0,:1189868548_0_0,:1190128241_1_0,:6469124180_6_0,:664472046_1_0,:664472775_2_0,:cluster_10279761592_11942000229_11942000233_663943274_10_0,:cluster_10560867453_663943486_4_0,:cluster_1177160373_664472773_8_0,:cluster_5424222009_664446539_0_0
